"id","post_id","reply","author","author_dtm","usable","created_at","updated_at","platform_id"
323922,NAVER_MAP_68a2f936da48ffe36a1fec2f,"한우리님, 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 원장님과 간호사분들이 친절하게 치료해드린 점이 기쁘네요. 신경치료가 아프지 않게 진행된 것은 저희의 목표입니다. 앞으로도 환자분들께 최선을 다해 편안한 치료를 제공하겠습니다. 소중한 의견 주셔서 감사합니다.",내이튼치과의원,2025-08-19 10:47:34.132 +0900,true,2025-08-19 10:47:34.132 +0900,2025-08-19 10:47:34.132 +0900,
323920,NAVER_MAP_68a2c9483208711432d80baa,"미래상인35님, 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 꼼꼼한 스케일링과 전문적인 진료가 도움이 되었다니 기쁩니다. 앞으로도 건강한 치아 관리를 위해 최선을 다하시길 바랍니다. 언제든지 궁금한 점이 있으시면 문의해 주세요.",내이튼치과의원,2025-08-19 10:47:16.231 +0900,true,2025-08-19 10:47:16.231 +0900,2025-08-19 10:47:16.231 +0900,
321802,NAVER_MAP_689d74e4e216f83a756409b5,"nkb****님, 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 신경치료를 통해 발치 없이 치료받으신 점과 의사 선생님의 친절한 설명이 도움이 되었다니 기쁩니다. 앞으로도 환자분들께 최선을 다해 안전하고 편안한 치료를 제공하겠습니다. 추가적인 궁금증이나 필요하신 부분이 있으시면 언제든지 말씀해 주세요.",내이튼치과의원,2025-08-15 09:00:00.000 +0900,true,2025-08-15 11:21:37.805 +0900,2025-08-16 00:00:22.284 +0900,
320563,NAVER_MAP_689acb246aebcabdb604cb26,"lov****님, 소중한 리뷰 감사합니다. 원장님의 설명이 도움이 되었다니 기쁩니다. 과잉 진료 없이 편안하게 치료받으셨다는 말씀은 저희에게 큰 힘이 됩니다. 앞으로도 가족 모두가 만족할 수 있는 진료를 제공하기 위해 최선을 다하겠습니다. 언제든지 필요하신 점이 있으면 말씀해 주세요.",내이튼치과의원,2025-08-14 09:00:00.000 +0900,true,2025-08-14 11:41:01.989 +0900,2025-08-15 00:00:14.524 +0900,
320561,NAVER_MAP_689c43dbba6517ed6e68c322,"Sol216님, 내이튼치과의원에 대한 긍정적인 리뷰에 감사드립니다. 윤민정 원장님과 직원들의 친절함이 도움이 되었다니 기쁩니다. 무통주사와 통증 완화 시스템이 치료에 큰 역할을 한 것 같아 다행입니다. 앞으로도 환자분들께 최상의 진료를 제공하기 위해 노력하겠습니다. 언제든지 궁금한 점이나 필요하신 부분이 있다면 말씀해 주세요. 감사합니다!",내이튼치과의원,2025-08-14 09:00:00.000 +0900,true,2025-08-14 11:40:34.764 +0900,2025-08-15 00:00:14.537 +0900,
318850,NAVER_MAP_689948297ad4bf923b154d64,"쏭8376님, 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 치료 방법에 대한 설명과 세심한 치료가 만족스러웠다니 기쁩니다. 앞으로도 전문적인 치료와 친절한 서비스를 지속적으로 제공할 수 있도록 노력하겠습니다. 언제든지 궁금한 점이나 필요하신 부분이 있으시면 말씀해 주세요. 감사합니다.",내이튼치과의원,2025-08-12 09:00:00.000 +0900,true,2025-08-12 11:04:25.154 +0900,2025-08-14 00:00:07.778 +0900,
318851,NAVER_MAP_6899c6b2bc30ec099cf5302a,"어 프리지아님, 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 빠르고 친절한 진료와 전문적인 설명이 도움이 되었다니 기쁩니다. 저희는 항상 환자분들의 편안한 진료 경험을 위해 최선을 다하고 있습니다. 앞으로도 더욱 발전하는 내이튼치과의원이 되겠습니다. 감사합니다.",내이튼치과의원,2025-08-12 09:00:00.000 +0900,true,2025-08-12 11:04:34.877 +0900,2025-08-14 00:00:07.774 +0900,
318007,NAVER_MAP_6896a492f37e085118e9404d,"zibra98님, 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 인레이 치료와 스케일링 과정에서의 친절한 설명이 도움이 되었다니 기쁩니다. 진료의 꼼꼼함과 편리한 주차도 만족스러우셨다니 저희에게 큰 힘이 됩니다. 앞으로도 최선을 다해 환자분들께 신뢰를 드릴 수 있도록 노력하겠습니다. 감사합니다!",내이튼치과의원,2025-08-10 09:00:00.000 +0900,true,2025-08-10 11:00:35.893 +0900,2025-08-11 00:00:12.755 +0900,
317073,NAVER_MAP_68944cfcd762211f3cc65c18,"밍먕믕님, 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 친절한 서비스가 도움이 되었다니 기쁩니다. 앞으로도 환자분들께 최선을 다해 진료하겠습니다. 추가로 궁금한 점이나 필요하신 서비스가 있다면 언제든지 말씀해 주세요. 감사합니다!",내이튼치과의원,2025-08-08 09:00:00.000 +0900,true,2025-08-08 10:55:46.790 +0900,2025-08-09 00:00:20.046 +0900,
317072,NAVER_MAP_689405df37ea0f2f73eb3015,"skylike99님, 긍정적인 평가에 감사드립니다. 원장님께서 신중하게 진단하고, 환자분의 상황을 고려하여 치료 방침을 제시한 점이 좋으셨다니 기쁩니다. 또한, 쾌적한 시설과 편리한 접근성에 대해 말씀해주셔서 감사합니다. 앞으로도 환자분의 편안한 치료 경험을 위해 최선을 다하겠습니다. 추가로 궁금한 점이나 필요하신 부분이 있다면 언제든지 말씀해 주세요.",내이튼치과의원,2025-08-08 09:00:00.000 +0900,true,2025-08-08 10:55:35.343 +0900,2025-08-09 00:00:20.052 +0900,
314396,NAVER_MAP_688c8524d5fcfea8205c2d72,"안녕하세요, anf****님. 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 아이가 치료를 받는 동안 편안함을 느꼈다니 기쁩니다. 간호사들의 친절한 서비스와 치료가 도움이 되었다니 정말 다행입니다. 앞으로도 최선을 다해 환자분들께 편안한 경험을 제공하도록 하겠습니다. 감사합니다.",내이튼치과의원,2025-08-02 09:00:00.000 +0900,true,2025-08-02 11:52:37.505 +0900,2025-08-03 00:00:09.552 +0900,
312860,KAKAO_MAP_13324528,"🍑님, 내이튼치과의원에 대한 긍정적인 평가에 감사드립니다. 예약 과정과 치료 설명이 도움이 되었다니 기쁩니다. 저희는 항상 환자분들께 최선을 다해 세심한 서비스를 제공하고자 노력하고 있습니다. 앞으로도 편안한 치료 경험을 위해 최선을 다하겠습니다. 감사합니다!",내이튼치과의원,2025-07-30 20:26:27.000 +0900,true,2025-07-30 11:26:27.909 +0900,2025-07-30 18:05:29.746 +0900,
312854,KAKAO_MAP_13329311,"민서맘강은미님, 소중한 리뷰 감사합니다. 친절한 서비스와 깨끗한 시설, 개인별 룸에서의 편안한 치료 경험을 하셨다니 기쁩니다. 전문적인 치료와 설명이 도움이 되었다는 말씀도 감사드립니다. 앞으로도 환자분들께 최상의 진료를 제공하기 위해 노력하겠습니다. 언제든지 필요하신 점이 있으시면 말씀해 주세요.",내이튼치과의원,2025-07-30 20:25:28.000 +0900,true,2025-07-30 11:25:26.267 +0900,2025-07-30 18:05:29.742 +0900,
